id,date,nday,h,m,foF2,h'Es,comp_1,comp_2
ak0028jvqcwp,2002-06-22,13.0,1,30,6.35,95.0,-0.15083726927559515,-0.5366200404883664
ak0028jvqcwp,2002-06-22,13.0,2,0,6.55,85.0,-0.1332274003822153,-0.7150496520321814
ak0028jvqcwp,2002-06-22,13.0,2,30,6.45,115.0,-0.13044264999138788,-0.5525612221185162
ak0028jvqcwp,2002-06-22,13.0,3,0,6.35,85.0,-0.14734135942434645,-0.7334844055356444
ak0028jvqcwp,2002-06-22,13.0,3,30,6.35,110.0,-0.04639456275136841,-0.5401496233047332
ak0028jvqcwp,2002-06-22,13.0,4,0,6.45,115.0,0.020914424969512894,-0.7355151307034158
ak0028jvqcwp,2002-06-22,13.0,4,30,6.15,97.0,0.04407924144505531,-0.50398382053862
ak0028jvqcwp,2002-06-22,13.0,5,0,7.35,125.0,0.15156689564240483,-0.6491527632649728
ak0028jvqcwp,2002-06-22,13.0,5,30,6.65,95.0,0.18287037605766354,-0.4269715965537623
ak0028jvqcwp,2002-06-22,13.0,6,0,7.05,115.0,0.26859184045144124,-0.578737008900132
ak0028jvqcwp,2002-06-22,13.0,6,30,6.65,95.0,0.3412113132935729,-0.3453829033273891
ak0028jvqcwp,2002-06-22,13.0,7,0,6.75,140.0,0.4532895799373192,-0.5214557206929208
ak0028jvqcwp,2002-06-22,13.0,7,30,6.85,135.0,0.5071245726158652,-0.26834751106849736
ak0028jvqcwp,2002-06-22,13.0,8,0,6.85,105.0,0.4684457375091705,-0.40260871074680704
ak0028jvqcwp,2002-06-22,13.0,8,30,6.75,90.0,0.4891775303364597,-0.16608355049657808
ak0028jvqcwp,2002-06-22,13.0,9,0,5.9,115.0,0.5313015049769545,-0.33169172717980994
ak0028jvqcwp,2002-06-22,13.0,9,30,5.7,107.0,0.6369017958027112,-0.058937533294978785
ak0028jvqcwp,2002-06-22,13.0,10,0,5.35,113.15384615384615,0.6681123121639088,-0.2044203623653113
ak0028jvqcwp,2002-06-22,13.0,10,30,5.55,103.58333333333331,0.6336436952887673,0.06950194258884884
ak0028jvqcwp,2002-06-22,13.0,11,0,5.25,135.0,0.7171649985476943,-0.1212748647393209
ak0028jvqcwp,2002-06-22,13.0,11,30,5.15,115.0,0.6847926370759853,0.15116306565232976
ak0028jvqcwp,2002-06-22,13.0,12,0,5.35,130.0,0.6547517810674826,-0.03584641734007957
ak0028jvqcwp,2002-06-22,13.0,12,30,5.625,125.0,0.535855833080454,0.16505396987786797
ak0028jvqcwp,2002-06-22,13.0,13,0,5.65,95.0,0.433165374764816,-0.01820978293887711
ak0028jvqcwp,2002-06-22,13.0,13,30,5.85,95.0,0.3295468415516679,0.175365172840661
ak0028jvqcwp,2002-06-22,13.0,14,0,6.15,117.5,0.28760445924541406,-0.05209733917070686
ak0028jvqcwp,2002-06-22,13.0,14,30,4.15,90.0,0.19088492008486155,0.049314641748284635
ak0028jvqcwp,2002-06-22,13.0,15,0,4.55,90.0,0.007107008947655962,-0.12894520811998916
ak0028jvqcwp,2002-06-22,13.0,15,30,4.612,95.0,-0.10762336960929576,0.013330929943188496
ak0028jvqcwp,2002-06-22,13.0,16,0,6.15,95.0,-0.11241842216934915,-0.16422204507011065
ak0028jvqcwp,2002-06-22,13.0,16,30,7.15,92.0,-0.22937845082580807,0.10321458501351682
ak0028jvqcwp,2002-06-22,13.0,17,0,5.85,89.0,-0.32206388990404644,-0.1549372327087395
ak0028jvqcwp,2002-06-22,13.0,17,30,5.65,95.0,-0.32341018785978926,0.0020995294281349977
ak0028jvqcwp,2002-06-22,13.0,18,0,6.1129999999999995,100.0,-0.38303088064576124,-0.1388712196310515
ak0028jvqcwp,2002-06-22,13.0,18,30,5.904,95.0,-0.40561827200211004,0.028156212796900542
ak0028jvqcwp,2002-06-22,13.0,19,0,5.85,95.0,-0.4789092068097457,-0.14935998134986267
ak0028jvqcwp,2002-06-22,13.0,19,30,4.75,92.0,-0.48911878784680807,-0.03371978753169684
ak0028jvqcwp,2002-06-22,13.0,20,0,6.05,95.0,-0.5134227067806433,-0.07111570501086117
ak0028jvqcwp,2002-06-22,13.0,20,30,6.15,102.0,-0.4967243020535032,0.056595909599032726
ak0028jvqcwp,2002-06-22,13.0,21,0,6.025,95.0,-0.5758687156868253,-0.11494802499642726
ak0028jvqcwp,2002-06-22,13.0,21,30,6.85,88.0,-0.5786277844542871,0.11280786221459355
ak0028jvqcwp,2002-06-22,13.0,22,0,5.55,92.0,-0.565498144339141,-0.15413886328782522
ak0028jvqcwp,2002-06-22,13.0,22,30,6.25,87.0,-0.6138288198875772,0.07075253197349807
ak0028jvqcwp,2002-06-22,13.0,23,0,6.35,95.0,-0.5594161607556766,-0.09816985431154818
ak0028jvqcwp,2002-06-22,13.0,23,30,6.025,90.0,-0.5672714995667716,0.09324773766989826
ak0028jvqcwp,2002-06-23,12.0,0,0,6.55,95.0,-0.22387025334277907,-0.6692400558075473
ak0028jvqcwp,2002-06-23,12.0,0,30,5.95,100.0,-0.17442943424674634,-0.499888454850551
ak0028jvqcwp,2002-06-23,12.0,1,0,5.95,90.0,-0.2446436782001496,-0.6671464897186572
ak0028jvqcwp,2002-06-23,12.0,1,30,5.901,105.0,-0.1364345636734174,-0.5056894767880604
ak0028jvqcwp,2002-06-23,12.0,2,0,5.712999999999999,85.0,-0.18422885990062976,-0.673589574512586
ak0028jvqcwp,2002-06-23,12.0,2,30,5.75,96.0,-0.13609852946229342,-0.5052167854549222
ak0028jvqcwp,2002-06-23,12.0,3,0,5.65,90.0,-0.12166052157910293,-0.7062534178716615
ak0028jvqcwp,2002-06-23,12.0,3,30,6.2010000000000005,95.0,-0.032896153929315226,-0.47082357561244387
ak0028jvqcwp,2002-06-23,12.0,4,0,6.004,110.0,0.0273793943611364,-0.703892598755954
ak0028jvqcwp,2002-06-23,12.0,4,30,6.05,109.0,0.012888686838302901,-0.4677636843160962
ak0028jvqcwp,2002-06-23,12.0,5,0,5.75,100.0,0.14663622334434173,-0.6278376807665487
ak0028jvqcwp,2002-06-23,12.0,5,30,4.95,90.0,0.17648157133403802,-0.4046663070883203
ak0028jvqcwp,2002-06-23,12.0,6,0,5.85,140.0,0.347505567593549,-0.5616486126379091
ak0028jvqcwp,2002-06-23,12.0,6,30,4.45,115.0,0.31828390721645805,-0.38953088991419016
ak0028jvqcwp,2002-06-23,12.0,7,0,4.61,103.0,0.409298833040378,-0.5002552912580039
ak0028jvqcwp,2002-06-23,12.0,7,30,4.8,99.0,0.38369143849904946,-0.18268173133480642
ak0028jvqcwp,2002-06-23,12.0,8,0,4.2,113.0,0.5257796393859127,-0.39393574283053806
ak0028jvqcwp,2002-06-23,12.0,8,30,7.41,110.0,0.3948790487598288,-0.13130889390039452
ak0028jvqcwp,2002-06-23,12.0,9,0,7.61,85.0,0.3294585032461103,-0.2138381597658053
ak0028jvqcwp,2002-06-23,12.0,9,30,4.0,80.0,0.44570156940742,-0.1631884661295332
ak0028jvqcwp,2002-06-23,12.0,10,0,4.9,75.0,0.5114421264705397,-0.18177948853076506
ak0028jvqcwp,2002-06-23,12.0,10,30,4.71,86.0,0.596728251159761,0.1069816880268736
ak0028jvqcwp,2002-06-23,12.0,11,0,4.9,85.0,0.576379112396629,-0.042142925280914116
ak0028jvqcwp,2002-06-23,12.0,11,30,5.1,92.0,0.609859952233787,0.2306619397456836
ak0028jvqcwp,2002-06-23,12.0,12,0,5.51,97.0,0.4284917948006705,0.03371786374297851
ak0028jvqcwp,2002-06-23,12.0,12,30,4.91,85.0,0.4212462782651763,0.19107666046373664
ak0028jvqcwp,2002-06-23,12.0,13,0,5.7,95.0,0.17447114788292054,0.005763654915146797
ak0028jvqcwp,2002-06-23,12.0,13,30,7.01,87.0,0.18142711202410985,0.19125759802660808
ak0028jvqcwp,2002-06-23,12.0,14,0,6.308333333333333,88.0,0.13636489545625033,0.026900014126147904
ak0028jvqcwp,2002-06-23,12.0,14,30,4.813,84.0,-0.011514317806193436,0.01873151223756185
ak0028jvqcwp,2002-06-23,12.0,15,0,5.525,94.0,0.02558367418779558,-0.04806315263567966
