,time,latitude,longitude,mag,id,date,prep_zone,dist,sonde,sonde_lat,sonde_lon
0,02:32:43,45.659,142.695,4.7,usp000ccgp,2003-11-10,104.9542428652322,84.744148313311,WK545,45.39,141.68
0,01:06:28,37.812,142.619,7.0,usp000cbpa,2003-10-31,1023.2929922807537,845.2709273523026,WK545,45.39,141.68
0,09:06:55,42.648,144.57,6.7,usp000c9x7,2003-10-08,760.3262769401822,382.72029558357315,WK545,45.39,141.68
0,02:36:53,42.45,144.38,6.5,usp000c90r,2003-09-29,623.7348354824192,392.0329836918426,WK545,45.39,141.68
0,04:44:17,46.26600000000001,143.035,5.2,usp000c8nw,2003-09-26,172.18685749860077,143.40277415425575,WK545,45.39,141.68
0,21:08:00,41.774,143.593,7.4,usp000c8mb,2003-09-25,1520.5475297324954,430.4033512819095,WK545,45.39,141.68
1,19:50:06,41.815,143.91,8.16,official20030925195006360_27,2003-09-25,3227.007687515532,436.05439445667207,WK545,45.39,141.68
0,21:08:00,41.774,143.593,7.4,usp000c8mb,2003-09-25,1520.5475297324954,430.4033512819095,WK545,45.39,141.68
1,19:50:06,41.815,143.91,8.16,official20030925195006360_27,2003-09-25,3227.007687515532,436.05439445667207,WK545,45.39,141.68
0,12:30:59,45.62600000000001,142.246,4.6,usp000c6j8,2003-09-02,95.0604793656281,51.42337138992184,WK545,45.39,141.68
0,06:25:31,47.151,139.248,6.8,usp000c3fr,2003-07-27,839.4599865193973,271.0118302859702,WK545,45.39,141.68
0,09:24:33,38.849,141.56799999999996,7.0,usp000by66,2003-05-26,1023.2929922807537,726.6052031596965,WK545,45.39,141.68
0,05:01:40,44.149,141.799,5.9,usp000br06,2003-02-19,344.3499307633384,138.23026529077976,WK545,45.39,141.68
0,04:53:53,47.824,146.209,7.3,usp000bhv1,2002-11-17,1377.2094688939458,439.8731659892734,WK545,45.39,141.68
0,17:19:30,43.752,130.666,7.3,usp000b73z,2002-06-28,1377.2094688939458,892.8442673011114,WK545,45.39,141.68
0,18:05:48,44.648,141.33100000000005,4.6,usp000b278,2002-04-11,95.0604793656281,86.92716364774974,WK545,45.39,141.68
