time,latitude,longitude,mag,id,date,prep_zone_in,prep_zone_out,dist,sonde,sonde_lat,sonde_lon
18:12:22.560000,26.001,128.274,4.9,us2013rya1,2013-06-27,127.93813041575251,255.87626083150502,55.75243608003103,OK426,26.28,127.81
13:24:45.360000,26.533,128.886,5.6,usc000hpjj,2013-06-13,255.85858869056446,511.7171773811289,110.95199327551136,OK426,26.28,127.81
19:46:00.490000,26.039,128.38299999999998,4.6,usb000ftzp,2013-03-27,95.06047936562808,190.12095873125617,63.20616621071552,OK426,26.28,127.81
20:32:45.540000,27.386,128.304,5.3,usc000fgmp,2013-03-05,190.10782799233002,380.21565598465986,132.01726509294986,OK426,26.28,127.81
20:44:55.760000,26.617,129.12,5.0,usc000fdp4,2013-02-26,141.2537544622754,282.5075089245508,135.88184803408208,OK426,26.28,127.81
20:57:35.470000,27.314,128.34799999999998,5.2,usp000jyvc,2013-01-27,172.18685749860077,344.37371499720155,126.44076363304278,OK426,26.28,127.81
09:19:16.080000,26.997,127.38,4.7,usp000jxq1,2013-01-01,104.9542428652322,209.9084857304644,90.24490502867977,OK426,26.28,127.81
22:05:11.570000,26.877,126.746,5.2,usp000fuz5,2007-12-21,172.18685749860077,344.37371499720155,124.94244952043431,OK426,26.28,127.81
10:58:45.100000,26.72,128.539,5.4,usp000fqrw,2007-10-17,209.89398836235245,419.7879767247049,87.5102023448946,OK426,26.28,127.81
13:38:57.880000,22.013,142.668,7.5,usp000fpca,2007-09-28,1678.8040181225604,3357.6080362451207,1581.1270641025294,OK426,26.28,127.81
15:19:42.560000,27.385,128.346,5.2,usp000fj6c,2007-08-08,172.18685749860077,344.37371499720155,133.52470327549557,OK426,26.28,127.81
00:02:24.200000,27.292,126.836,6.0,usp000fj2d,2007-08-07,380.1893963205613,760.3787926411226,148.16818473705706,OK426,26.28,127.81
15:07:35.320000,27.343000000000004,126.897,5.9,usp000fhhf,2007-07-31,344.3499307633384,688.6998615266768,148.6982416489021,OK426,26.28,127.81
12:41:32.080000,26.25,128.63,4.7,usp000fb0s,2007-05-01,104.9542428652322,209.9084857304644,81.97872639265294,OK426,26.28,127.81
19:37:58.230000,27.471,128.379,5.7,usp000fa76,2007-04-20,282.48799749157075,564.9759949831415,143.5654106083917,OK426,26.28,127.81
02:23:34.040000,25.623,125.043,6.0,usp000fa4b,2007-04-20,380.1893963205613,760.3787926411226,286.5308251864081,OK426,26.28,127.81
01:45:56.110000,25.71,125.108,6.3,usp000fa44,2007-04-20,511.6818355403079,1023.3636710806157,277.79559102542515,OK426,26.28,127.81
00:30:59.960000,25.73,125.148,5.7,usp000fa3s,2007-04-20,282.48799749157075,564.9759949831415,273.37309491524707,OK426,26.28,127.81
00:26:40.600000,25.722,125.093,6.1,usp000fa3r,2007-04-20,419.7589839910073,839.5179679820146,278.94720924975655,OK426,26.28,127.81
17:20:16.700000,26.12,128.656,4.6,usp000fa09,2007-04-18,95.06047936562808,190.12095873125617,86.39361118384943,OK426,26.28,127.81
15:39:19.100000,22.605,125.783,6.3,usp0008yf3,1998-11-19,511.6818355403079,1023.3636710806157,455.98352480337206,OK426,26.28,127.81
11:15:42.690000,28.505,127.615,6.2,usp0008vxm,1998-10-03,463.446919736288,926.893839472576,247.30488630244088,OK426,26.28,127.81
11:31:39.020000,26.106,128.64600000000002,4.5,usp0008mzt,1998-05-13,86.09937521846008,172.19875043692016,85.75583189604177,OK426,26.28,127.81
23:30:21.910000,22.306,125.308,7.5,usp0008mdk,1998-05-03,1678.8040181225604,3357.6080362451207,508.15843438248396,OK426,26.28,127.81
12:04:11.840000,26.535,128.611,5.0,usp0009fnz,1999-10-10,141.2537544622754,282.5075089245508,84.7624246474803,OK426,26.28,127.81
17:47:18.490000,23.772,120.982,7.7,usp0009eq0,1999-09-20,2046.4446367246742,4092.8892734493484,742.8826157630966,OK426,26.28,127.81
18:23:02.790000,26.748,127.846,4.5,usp00097yt,1999-05-14,86.09937521846008,172.19875043692016,51.97651029981063,OK426,26.28,127.81
15:01:21.320000,25.922,128.514,4.6,usp00096bn,1999-04-15,95.06047936562808,190.12095873125617,80.8233493874172,OK426,26.28,127.81
16:47:12.030000,25.764,128.247,4.6,usp0005jm6,1992-12-21,95.06047936562808,190.12095873125617,71.9825824295887,OK426,26.28,127.81
21:42:21.350000,26.466,126.559,5.1,usp0005h02,1992-11-17,155.95525028269526,311.9105005653905,126.5378310859984,OK426,26.28,127.81
07:33:35.340000,26.063,128.531,4.7,usp0005dje,1992-09-04,104.9542428652322,209.9084857304644,75.98329696299622,OK426,26.28,127.81
02:14:18.880000,26.613000000000003,127.684,4.6,usp0005chh,1992-08-16,95.06047936562808,190.12095873125617,38.97616163381589,OK426,26.28,127.81
00:41:12.990000,28.107,128.032,5.4,usp00058r5,1992-06-06,209.89398836235245,419.7879767247049,203.63506163654895,OK426,26.28,127.81
04:04:03.560000,28.018,128.05100000000002,6.0,usp00058na,1992-06-04,380.1893963205613,760.3787926411226,194.05648290706276,OK426,26.28,127.81
03:28:52.380000,28.05,128.15200000000002,5.4,usp00058m0,1992-06-03,209.89398836235245,419.7879767247049,199.0339459672564,OK426,26.28,127.81
01:55:13.380000,28.083,128.094,5.6,usp00058kw,1992-06-03,255.85858869056446,511.7171773811289,201.75618757992817,OK426,26.28,127.81
12:39:22.660000,27.22,127.473,5.3,usp00058bv,1992-05-29,190.10782799233002,380.21565598465986,109.41334425131558,OK426,26.28,127.81
13:57:34.170000,26.15,128.656,4.7,usp0005598,1992-04-03,104.9542428652322,209.9084857304644,85.76268179661615,OK426,26.28,127.81
22:38:56.910000,26.724,127.01,4.7,usp000526x,1992-01-24,104.9542428652322,209.9084857304644,93.70207391455848,OK426,26.28,127.81
21:09:48.940000,26.075,128.46,4.8,usp00063q7,1993-11-14,115.87773561551262,231.75547123102524,68.83324838279542,OK426,26.28,127.81
00:38:37.060000,26.647,127.69,5.1,usp00062m8,1993-10-25,155.95525028269526,311.9105005653905,42.38610263419113,OK426,26.28,127.81
09:03:17.690000,25.306,128.141,5.1,usp0005z1q,1993-08-23,155.95525028269526,311.9105005653905,112.89531413508864,OK426,26.28,127.81
00:00:37.070000,26.585,125.612,6.4,usp0005y1k,1993-08-07,564.9369748123029,1129.8739496246058,221.83252340560776,OK426,26.28,127.81
11:10:53.330000,27.887,127.992,5.5,usp0005vre,1993-07-07,231.73946499684772,463.47892999369554,178.97594821953138,OK426,26.28,127.81
05:10:12.390000,24.959,127.867,5.5,usp0005uks,1993-06-15,231.73946499684772,463.47892999369554,146.45524881263492,OK426,26.28,127.81
14:23:36.440000,25.438,128.3,5.0,usp0005typ,1993-06-03,141.2537544622754,282.5075089245508,105.42194663731094,OK426,26.28,127.81
02:48:55.890000,26.414,127.269,5.5,usp0005s12,1993-05-01,231.73946499684772,463.47892999369554,56.007067194373995,OK426,26.28,127.81
12:38:16.390000,26.01,128.38299999999998,4.6,usp0005nvw,1993-03-02,95.06047936562808,190.12095873125617,64.63529433628469,OK426,26.28,127.81
16:52:18.670000,25.978,127.77,4.7,usp0005nua,1993-03-01,104.9542428652322,209.9084857304644,33.69686309079416,OK426,26.28,127.81
13:22:55.840000,43.773,147.321,8.3,usp0006kdp,1994-10-04,3706.8072178257644,7413.614435651527,2620.1755750677953,OK426,26.28,127.81
07:41:09.640000,26.516,128.77100000000002,4.8,usp0006jpb,1994-09-19,115.87773561551262,231.75547123102524,99.38743870551495,OK426,26.28,127.81
04:28:01.020000,29.287,129.91,6.1,usp0006jc3,1994-09-13,419.7589839910073,839.5179679820146,392.2452407752687,OK426,26.28,127.81
04:00:42.180000,23.959,122.448,6.6,usp0006d02,1994-05-24,688.6522963442757,1377.304592688551,598.6916447086272,OK426,26.28,127.81
16:40:00.340000,25.099,128.829,5.5,usp0006cuz,1994-05-20,231.73946499684772,463.47892999369554,166.07134311353443,OK426,26.28,127.81
23:45:55.760000,23.71,126.852,6.1,usp0006axj,1994-04-10,419.7589839910073,839.5179679820146,300.6615331777841,OK426,26.28,127.81
11:39:18.390000,27.366,128.376,5.2,usp00079a9,1995-12-20,172.18685749860077,344.37371499720155,132.8341239779739,OK426,26.28,127.81
10:51:11.220000,27.802,129.986,5.7,usp00075dw,1995-10-19,282.48799749157075,564.9759949831415,273.9483181837676,OK426,26.28,127.81
02:41:36.190000,28.094,130.148,6.8,usp00075db,1995-10-19,839.4599865193973,1678.9199730387945,306.70009124850566,OK426,26.28,127.81
00:32:06.440000,28.164,130.156,6.3,usp00075d5,1995-10-19,511.6818355403079,1023.3636710806157,312.37342096004636,OK426,26.28,127.81
23:25:58.770000,28.20300000000001,130.211,6.1,usp00075d0,1995-10-18,419.7589839910073,839.5179679820146,319.2830820919366,OK426,26.28,127.81
10:37:26.380000,27.929,130.175,7.1,usp00075bd,1995-10-18,1129.7959146727976,2259.591829345595,297.28308599712153,OK426,26.28,127.81
